,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.8166635,0.24819950349760583,0.04689311188842082,0.6918084,0.999048
1,0.8136856,0.2457156708796281,0.04653986066737808,0.6942213,0.9955297
2,0.8254835,0.2522683374761954,0.0469936599318868,0.6880118,0.9958562
3,0.829507,0.25192777651547427,0.04698337386716525,0.6883455,0.9965643
4,0.8271185,0.24892143920165827,0.046997210090484055,0.6917767,1.002311
5,0.8270306,0.24813307501672469,0.04695029520985173,0.692377,1.002376
6,0.8303776,0.2521358904667171,0.04774245243600671,0.6887173,1.000997
7,0.8359756,0.2565294118583586,0.04815675904474355,0.6845044,1.001139
8,0.8353135,0.25620971155155764,0.04811573754857098,0.6847937,1.000848
9,0.8396758,0.25482098176450635,0.04769448727160495,0.6861266,1.002169
10,0.8397873,0.2538110479294853,0.04756340926060771,0.686958,1.003287
11,0.8383727,0.2564606403810236,0.04763339484279025,0.68394,1.003229
12,0.8464333,0.26349899882338196,0.04880564353499414,0.6782175,1.007005
13,0.8293612,0.25746807792658993,0.04816358843632837,0.6838061,1.004577
14,0.8371508,0.26447511440458354,0.048964010720542954,0.6775959,1.00366
15,0.8431526,0.26388714153292814,0.04877020362336716,0.6778625,1.001773
16,0.844081,0.2641507206731605,0.048766487891636526,0.6776773,1.001337
17,0.830322,0.2611024096972053,0.04822877926121145,0.6802738,1.000897
18,0.8235652,0.256282132263417,0.047819914395442954,0.6848901,0.9989853
19,0.8186649,0.2534017098116475,0.04745381311057671,0.6873582,0.9998163
20,0.8308802,0.2529922348610431,0.047560512287005155,0.6880435,0.9991713
21,0.8238252,0.24710914948641208,0.04697168669324928,0.6934684,1.002492
22,0.8366351,0.2522349442020965,0.04723235042588244,0.688208,1.002851
23,0.8304177,0.2510619517768478,0.0471217335199909,0.6895704,1.003203
24,0.8276393,0.25105963156279953,0.04696631728913859,0.6894205,1.001735
25,0.8266649,0.2563859628494716,0.04757695499070829,0.6842018,1.000001
26,0.8260981,0.25618720120355243,0.047569411878115704,0.6843608,0.9999928
27,0.8281586,0.25738145170019866,0.04784266354841443,0.6834276,1.000575
28,0.8294991,0.25785589619683613,0.047916321134878564,0.6830138,1.000317
29,0.8193015,0.2540879209168647,0.047620083523978125,0.6863735,0.9985816
30,0.8190158,0.2538352751203921,0.04758805258968017,0.6865991,1.000191
31,0.8209476,0.2538047670653925,0.0475958598686123,0.6866352,1.00204
32,0.8199615,0.2522743386803799,0.04726658657256056,0.6881678,1.001944
33,0.8192624,0.25168105552072334,0.047282657298675444,0.688932,1.001492
34,0.8175211,0.2538445332566407,0.047411199287801374,0.6869038,0.9988525
35,0.8265446,0.2581884744092401,0.04778719975741607,0.6825695,0.9999127
36,0.834813,0.2605259993260039,0.048268978398796604,0.6804869,0.9971
37,0.8350137,0.2603737757157573,0.04817935062875677,0.6803991,0.9988371
38,0.8371808,0.2609881135908139,0.04823329339495672,0.6799952,0.9971258
39,0.8305107,0.25886508043052825,0.048178028313180854,0.6821417,0.9980639
40,0.8250219,0.25379360552086966,0.04788329155735658,0.6869839,0.9992092
41,0.8337143,0.2613558651110875,0.04864817092326919,0.6799886,1.000169
42,0.831139,0.2588067292361483,0.0484889299870777,0.6823899,1.001227
43,0.8273888,0.2533763011090102,0.04766930619176866,0.686899,1.000419
44,0.8410147,0.2575876052136863,0.048150662428473115,0.6830799,1.00042
45,0.841308,0.25711895995026574,0.04804094304965579,0.6840354,0.9994319
46,0.8371893,0.2569961759046774,0.048039369204085594,0.6842929,0.998808
47,0.8394313,0.25809746764656627,0.04818965466284581,0.6834071,0.9981536
48,0.8390825,0.2560280572279757,0.04794011337111579,0.6854618,0.9996772
49,0.8193552,0.24596962813468928,0.04666369247936307,0.6943156,1.001147
50,0.8260323,0.2495814712682036,0.046751606955637404,0.6903485,1.002401
51,0.8332527,0.2565392611409965,0.047680533826912286,0.6838483,1.003947
52,0.8487326,0.26362265254761486,0.04843648450356645,0.6776222,1.003098
53,0.8481327,0.26219117899805655,0.048293510958222347,0.679011,1.001538
54,0.8457245,0.2654442984166005,0.04840122977666297,0.6757105,0.9988674
55,0.8236395,0.2501098612561854,0.04670108941203579,0.6893533,0.9989869
56,0.8190374,0.2533789015415099,0.046872893804270586,0.68626,0.9987044
