,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.8128737,0.2597581532185121,0.04901356262232485,0.6779541,0.9704465
1,0.806945,0.25895746963226546,0.04896883246492011,0.67854,0.9691035
2,0.8015698,0.25875932538527124,0.048816136505043566,0.6783446999999999,0.9681937
3,0.79111,0.25102746095532436,0.04813018320009388,0.6843994000000001,0.9737607
4,0.7955944,0.24391375437861426,0.047329961187105016,0.6903076,0.9745828
5,0.7987547,0.24648132491081196,0.04774783908187164,0.6885498,0.9737231
6,0.8041244,0.250142061297718,0.048069260721164825,0.6852782999999999,0.9695808
7,0.8032687,0.25011486378920417,0.04807955785274741,0.6852294999999999,0.9698571
8,0.8053915,0.2508124531400608,0.048143725357683353,0.6842529,0.9698187
9,0.8025092,0.2537894070652903,0.04825417060913027,0.6809814,0.9663759
10,0.8040151,0.2557777479715191,0.048517230182106116,0.6795654,0.9631115
11,0.8095884,0.2585177413158838,0.04886890575749702,0.6776123,0.9640136
12,0.8049061,0.26005793212179823,0.04889630535298629,0.6761475,0.9644869
13,0.807426,0.26106345703167233,0.04903560463510023,0.6755127000000001,0.9646593
14,0.8057958,0.2580596348885788,0.048830039723682196,0.6780029000000001,0.9656938
15,0.8066151,0.2564675814165261,0.04874686951993153,0.6793213,0.9660213
16,0.8093494,0.2587248091378581,0.04907594882439335,0.6781982000000001,0.9646802
17,0.8100811,0.2569088191804133,0.04888492329422329,0.6799561,0.9658803
18,0.8110906,0.2554864600449701,0.048666708818507876,0.6810303000000001,0.9666474
19,0.8093346,0.25630872355020107,0.0486568320988355,0.6798584,0.9666409
20,0.8105104,0.25426417612532015,0.048512395077589233,0.6816162,0.968258
21,0.8135358,0.2547032629035878,0.048514030891076906,0.6816162,0.9701231
22,0.8129853,0.2559141152248108,0.048634785562402465,0.6806395999999999,0.9698774
23,0.8113091,0.25221846869151393,0.048314614225246265,0.6831299,0.9706999
24,0.8090066,0.25099038226663734,0.04830530947235139,0.6844971,0.9698342
25,0.8133902,0.25253583903271554,0.048575371671924376,0.6833252000000001,0.9694256
26,0.8155932,0.2579351318102554,0.04898365589087496,0.6786377,0.9683976
27,0.8165379,0.25779168338047054,0.048961971579505076,0.6787842000000001,0.9683405
