,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.81462164,0.26035981,0.048660276,0.67618492,0.96936752
1,0.81105214,0.25945066,0.048619695,0.67676184,0.96795134
2,0.81285667,0.26070422,0.048736649,0.67603746,0.96720705
3,0.81196057,0.26266561,0.048940524,0.67460467,0.96735433
4,0.81199491,0.25854629,0.04865838,0.67786155,0.96950917
5,0.8127603,0.25945169,0.048742429,0.67719495,0.96963304
6,0.81110667,0.25743769,0.048617041,0.67941726,0.96978123
7,0.81211766,0.25773287,0.04869508,0.67929759,0.96921423
8,0.81217573,0.25778131,0.048700137,0.6792628,0.96918487
9,0.81168599,0.25516342,0.048442379,0.68153303,0.96911062
10,0.80685713,0.24561054,0.047695022,0.68846058,0.97529763
11,0.80904696,0.25384484,0.048508453,0.68202391,0.97243428
12,0.81478395,0.26036384,0.048981774,0.67757669,0.97237414
13,0.81249944,0.2617521,0.049092252,0.67649872,0.96937721
14,0.81288763,0.26322011,0.049319679,0.67556668,0.96904412
15,0.80921333,0.26013362,0.049098226,0.67802723,0.97005703
16,0.80677929,0.26625023,0.049564306,0.6729639,0.96770814
17,0.81213403,0.26502714,0.049391273,0.67406682,0.96786389
18,0.81220096,0.26468093,0.049330013,0.67440105,0.96836528
19,0.81221117,0.26467989,0.049330277,0.67440242,0.96836924
20,0.81374729,0.26802959,0.049552826,0.67200354,0.96750116
21,0.8161221,0.27725283,0.050223722,0.66387887,0.96600111
22,0.81597748,0.27998034,0.050390581,0.66177761,0.96480859
23,0.82235528,0.28193861,0.050845973,0.66129769,0.96196324
24,0.82261064,0.28311124,0.050894957,0.6603487,0.96141235
25,0.81233741,0.2758014,0.050278209,0.66635627,0.96337079
26,0.81197678,0.28147684,0.050643283,0.66152304,0.96264043
27,0.8168552,0.27678276,0.050293473,0.6647337,0.96638168
28,0.81820345,0.27434256,0.050373681,0.66721119,0.96415459
29,0.8179751,0.27513917,0.050436532,0.6664693,0.96352822
30,0.81625146,0.25676023,0.048694868,0.68021412,0.96717999
31,0.81143764,0.25592552,0.0486505,0.68086566,0.9658589
32,0.81216268,0.25765736,0.048816556,0.67929565,0.9651944
33,0.81699571,0.25588386,0.048758295,0.68100584,0.96692189
34,0.8193347,0.2608459,0.049161515,0.67730507,0.96391172
35,0.81419417,0.25726933,0.048844687,0.67973869,0.9649901
36,0.81713,0.25952907,0.048979846,0.6777853,0.96410044
37,0.81563133,0.26214543,0.049187786,0.67574767,0.96202982
38,0.81773667,0.26229084,0.049095351,0.67558774,0.96346321
39,0.81615318,0.26107772,0.04896812,0.67658475,0.9637197
40,0.81506053,0.26189356,0.049073442,0.67607473,0.96435981
41,0.81636482,0.2624148,0.04911168,0.67564075,0.96391103
42,0.81492698,0.26155801,0.049015713,0.67619319,0.96320906
43,0.81506962,0.25478603,0.048336649,0.68196135,0.96757899
44,0.81502868,0.25461316,0.04833491,0.6821063,0.96791826
45,0.81345524,0.27299866,0.049785517,0.66656112,0.96076436
46,0.81334763,0.27339245,0.049823317,0.66631971,0.96058031
47,0.82268196,0.27559257,0.049975055,0.66471821,0.96545918
48,0.82198739,0.27151202,0.049626864,0.66789297,0.96661034
49,0.82060269,0.27370259,0.049850824,0.6662643,0.9661184
50,0.81761751,0.26648095,0.049201942,0.67163044,0.96863618
51,0.81237407,0.27065364,0.049619107,0.66804504,0.96562941
52,0.81120197,0.27101368,0.049560574,0.66764036,0.96451778
53,0.80979656,0.27234306,0.049891132,0.66695163,0.96011906
54,0.80963917,0.2642979,0.04928754,0.673942,0.96406715
55,0.80904375,0.26449111,0.049307097,0.67378707,0.96374828
56,0.81037562,0.26488847,0.049307768,0.67348254,0.96282328
57,0.80996336,0.26192258,0.049192034,0.67603663,0.9640412
58,0.81060359,0.26147565,0.049153603,0.6763572,0.96452189
59,0.80991298,0.26173222,0.049138517,0.6761748,0.96471989
60,0.80441232,0.25594495,0.048621745,0.68039582,0.96701954
61,0.80565244,0.2588014,0.049151755,0.67861187,0.96682142
62,0.80222332,0.26017834,0.049170765,0.67754816,0.9616718
63,0.80832736,0.26502865,0.049601153,0.67395882,0.95880377
64,0.81312423,0.26060265,0.049287842,0.6774674,0.9620308
65,0.80988528,0.26241589,0.049389405,0.67538628,0.96078871
66,0.81795119,0.27842208,0.050752202,0.66315799,0.95450499
67,0.83031798,0.27486051,0.050020559,0.66503049,0.96204444
68,0.82230937,0.26534019,0.049268141,0.67271159,0.9591399
69,0.8085882,0.26177456,0.04900684,0.67569117,0.95599495
70,0.810469,0.25164734,0.04817796,0.68355003,0.96138099
71,0.81116019,0.25183592,0.048200634,0.68348434,0.96073735
72,0.81534375,0.25337738,0.048383737,0.68238762,0.96007765
73,0.81813067,0.25482384,0.04839805,0.68158313,0.96170481
74,0.8188701,0.25525136,0.048405209,0.68088399,0.96343411
75,0.81881964,0.25508048,0.048392997,0.6810285,0.96349913
76,0.81794667,0.26670067,0.049271653,0.67157681,0.96197548
77,0.81970823,0.26382907,0.049024555,0.67359057,0.96414953
78,0.81112823,0.25700752,0.048413335,0.67912995,0.96774673
79,0.81121448,0.2573845,0.04860704,0.67916293,0.96801632
80,0.81780583,0.2571663,0.048530533,0.68007576,0.97043143
81,0.80540574,0.24830041,0.048025771,0.68749694,0.96992922
82,0.80749184,0.25185081,0.048371393,0.6841825,0.96501863
83,0.8069249,0.25887764,0.048931683,0.67904471,0.96013697
84,0.80157599,0.2528851,0.04828111,0.68291178,0.96458995
85,0.79540466,0.25466009,0.048406302,0.68160306,0.96758371
86,0.80315046,0.25234534,0.048401037,0.68440347,0.96964287
87,0.80499863,0.25156719,0.048251433,0.68486652,0.96960134
88,0.80842366,0.24811794,0.047924251,0.6868625,0.97421436
89,0.80885757,0.25199324,0.048246073,0.68316033,0.96946745
90,0.81094801,0.25098052,0.048179185,0.68406092,0.96987421
91,0.80700968,0.2531395,0.048245114,0.68197698,0.96872049
92,0.80293791,0.2538977,0.048459686,0.68198664,0.96819495
93,0.79989224,0.25830724,0.048732305,0.67843657,0.96867387
94,0.80089558,0.25908906,0.048767866,0.67778144,0.9672256
95,0.79835839,0.25626663,0.048580687,0.67995121,0.96661061
96,0.80880611,0.25638194,0.049093457,0.68196824,0.9660304
97,0.81802125,0.26592827,0.049896372,0.67326044,0.96753613
98,0.81416982,0.26856411,0.050045538,0.67087103,0.96622723
99,0.81412363,0.26882894,0.050069022,0.67064585,0.96617594
100,0.81084427,0.2636312,0.04982566,0.67523222,0.9683613
101,0.81015773,0.26222652,0.049674912,0.67636156,0.96666698
102,0.80571932,0.25891218,0.049275975,0.67869525,0.96868978
103,0.80819518,0.26379691,0.049696215,0.67514485,0.96765124
