,sigma8,Omega_cdm,Omega_b,h,n_s,tau
0,0.80097945,0.26327177,0.0493366,0.67505419,0.96300546,0.043377166
1,0.79658427,0.27614361,0.050419671,0.66522171,0.95569831,0.031104553
2,0.80416816,0.27793599,0.050665654,0.66490088,0.95701755,0.035269235
3,0.79757833,0.27422116,0.050467189,0.66665647,0.95737848,0.035559528
4,0.79813075,0.26969865,0.050085756,0.67022969,0.95555586,0.03841117
5,0.79899787,0.27169566,0.050183422,0.66905448,0.95548873,0.038186635
6,0.80007609,0.27141612,0.050094114,0.66910395,0.95699845,0.03899069
7,0.80661081,0.28014362,0.050853443,0.66229829,0.95614539,0.03833272
8,0.8073668,0.27994681,0.050826948,0.66234498,0.95629468,0.039750295
9,0.8003835,0.27543071,0.050189841,0.66515453,0.95844239,0.034895049
10,0.80928649,0.27484298,0.050035777,0.66443631,0.96120328,0.049003306
11,0.81839912,0.27205437,0.050040179,0.66772711,0.96059355,0.058768985
12,0.81848135,0.27237877,0.050027427,0.66757478,0.96068275,0.058172856
13,0.82080956,0.27070612,0.049675827,0.66868152,0.96195724,0.061880742
14,0.81983634,0.27154194,0.049798222,0.66825312,0.96072197,0.060438066
15,0.82033914,0.270858,0.049800792,0.66889048,0.96107725,0.060545026
16,0.81914568,0.26844422,0.049632283,0.67094897,0.96160752,0.060289777
17,0.8162848,0.26480342,0.049444209,0.67405902,0.96761201,0.058190979
18,0.81482284,0.26592377,0.049542982,0.67376168,0.96656095,0.054549958
19,0.81242532,0.26408865,0.049460944,0.67469686,0.96743097,0.055352212
20,0.80949251,0.25751879,0.048963268,0.6806505,0.96577854,0.056384446
21,0.80901877,0.26361902,0.049071294,0.67491301,0.95879366,0.053757236
22,0.80876645,0.27175445,0.049726342,0.66900936,0.95690335,0.046315734
23,0.81666886,0.27398038,0.049904416,0.667217,0.9576291,0.05614057
24,0.80856132,0.27453203,0.049851841,0.66572654,0.95097997,0.046410646
25,0.80906078,0.27159445,0.049613337,0.66787981,0.95310981,0.050406527
26,0.81026896,0.27075621,0.049556121,0.66870173,0.95517983,0.050863935
27,0.81069109,0.27652679,0.05004358,0.66432918,0.95520025,0.04537796
28,0.81163376,0.27295255,0.049838467,0.66722898,0.95750128,0.046936622
29,0.80112407,0.2685142,0.049549314,0.67065832,0.95683062,0.040421936
30,0.80117887,0.27101173,0.049789269,0.66881161,0.95542272,0.03899232
31,0.80292725,0.2731812,0.050172226,0.66657174,0.95600511,0.041420202
32,0.81535803,0.2733016,0.050003144,0.66625775,0.9661992,0.054584416
33,0.81523509,0.27461438,0.050128639,0.66540788,0.96594783,0.052740246
34,0.80980916,0.27297759,0.049855136,0.66677267,0.96596026,0.045052573
35,0.8117523,0.27399919,0.049946386,0.66616487,0.96600712,0.045588002
36,0.81142502,0.26630623,0.049549961,0.6733776,0.96114142,0.050914477
37,0.81321221,0.2632516,0.049404908,0.67546677,0.96245035,0.052690942
38,0.81587259,0.2637572,0.049301324,0.67471832,0.96105406,0.055899577
39,0.81469916,0.26098755,0.049162105,0.67714753,0.96100006,0.057268069
40,0.81259558,0.26267168,0.048713736,0.6731419,0.96543549,0.059554686
41,0.81216196,0.26543415,0.048893055,0.67108503,0.96473488,0.05611864
42,0.81178196,0.27041632,0.049486997,0.66767566,0.96104762,0.049660508
43,0.81599227,0.27351739,0.049897653,0.66596491,0.9590859,0.055164573
44,0.81399983,0.27336792,0.049992507,0.66669415,0.96170177,0.050164918
45,0.80919629,0.25713017,0.048408134,0.67944721,0.97068652,0.058240946
46,0.80325643,0.25883744,0.048567656,0.67794835,0.97079342,0.0511596
47,0.80185808,0.26442077,0.049245692,0.67417503,0.96552488,0.041921968
48,0.79983359,0.26349323,0.049118395,0.67442077,0.96348198,0.041713707
49,0.80201534,0.26085549,0.048959939,0.67649911,0.95895559,0.051532803
50,0.80047503,0.25752512,0.048616434,0.67877838,0.96078165,0.053094124
51,0.79851848,0.25606065,0.048525054,0.67998213,0.96026839,0.051312969
52,0.80492407,0.27575707,0.050286131,0.6648142,0.95383656,0.047274289
53,0.81204838,0.26072482,0.048866015,0.67609853,0.96760293,0.066227716
54,0.8104241,0.26438206,0.049176301,0.67290517,0.96748712,0.063781487
55,0.80398404,0.25499852,0.048086225,0.67940977,0.97112881,0.059493875
56,0.79803655,0.25486384,0.048163894,0.68041367,0.97235835,0.049592211
57,0.795309,0.25508848,0.048132693,0.68063422,0.96767471,0.043042474
58,0.79589303,0.25821927,0.048609898,0.67907653,0.96678588,0.040445084
59,0.7976089,0.25476324,0.04829856,0.68153229,0.96903866,0.046461204
60,0.79843865,0.25519917,0.048264745,0.68112888,0.97027938,0.046054784
61,0.79603149,0.25132429,0.047857983,0.68414127,0.97073964,0.045998377
62,0.79677047,0.24885261,0.047673007,0.68607167,0.97219746,0.049283143
63,0.80229643,0.25430511,0.048184768,0.68178934,0.97370333,0.049509743
64,0.80205473,0.26116661,0.048728037,0.67622121,0.96833043,0.049360332
65,0.80360119,0.26127648,0.048787225,0.67621941,0.96806481,0.05106374
66,0.80729208,0.26279744,0.049070351,0.67541553,0.96626973,0.05317685
67,0.80963483,0.26666582,0.049353334,0.67216065,0.96157112,0.054043228
68,0.81110955,0.2635345,0.04932497,0.67538614,0.96147146,0.05211896
69,0.81489772,0.2666785,0.049618434,0.67219565,0.96004473,0.058565395
70,0.81240188,0.2580179,0.048650166,0.67828468,0.96270783,0.062959753
71,0.81210824,0.25785412,0.04864766,0.67842109,0.96265906,0.062554884
72,0.81201502,0.25769214,0.048637782,0.67856087,0.9627773,0.062618794
73,0.81026992,0.25747681,0.048605806,0.6784064,0.96322336,0.061722761
74,0.80999322,0.25556582,0.048455176,0.67999065,0.96466441,0.063725664
75,0.80894488,0.2554212,0.048515291,0.6801965,0.96600533,0.062354663
76,0.80938213,0.25478468,0.048445191,0.68080834,0.96668842,0.062399516
77,0.80876896,0.25383287,0.048341498,0.68157128,0.96732008,0.062887564
78,0.80827617,0.26145419,0.049414997,0.67601524,0.96693996,0.055032947
79,0.80840494,0.25937855,0.049271791,0.67783058,0.9675213,0.054697036
80,0.81140031,0.28192418,0.050841925,0.65963878,0.96068607,0.043990311
81,0.81676585,0.27946422,0.050618109,0.66198258,0.96501603,0.050468021
82,0.81682024,0.28208945,0.050885132,0.66021341,0.96400985,0.049137894
83,0.81733681,0.28242792,0.05089071,0.65988559,0.96345549,0.049522949
84,0.81668453,0.27674838,0.050343345,0.66416234,0.96663328,0.051024368
85,0.81508954,0.2552644,0.048542747,0.68118901,0.97450829,0.066988074
86,0.81538215,0.25118417,0.048371818,0.68449129,0.97602274,0.070185647
87,0.81554096,0.25950637,0.049196193,0.67859026,0.96086763,0.063308468
88,0.815833,0.25971568,0.049214751,0.67839619,0.96075299,0.063667027
89,0.82269116,0.24943418,0.048054117,0.68574028,0.97457044,0.082214639
90,0.82333785,0.2500187,0.048079561,0.68528686,0.97401593,0.082729836
91,0.82522396,0.25144174,0.048308327,0.68441381,0.97294643,0.079772015
92,0.82840713,0.25494365,0.048512938,0.68144263,0.97160106,0.080284318
93,0.82831085,0.25528795,0.048566026,0.68106505,0.97154624,0.080734056
94,0.81870426,0.25222281,0.048331238,0.68301217,0.96810799,0.071210627
95,0.81860599,0.2523387,0.048326531,0.68291809,0.96781897,0.071167565
96,0.81932513,0.25826758,0.048840152,0.67844143,0.96545653,0.065607924
97,0.81334234,0.26277884,0.049402134,0.67520512,0.96029309,0.05447932
98,0.81406821,0.26324499,0.049468773,0.67506769,0.96068875,0.054299913
99,0.81404572,0.2632951,0.049472055,0.67502389,0.96069321,0.054245197
100,0.81265368,0.26224508,0.049348479,0.67577346,0.96062468,0.053992661
101,0.81242126,0.25754537,0.048909518,0.6795806,0.96486597,0.056408224
102,0.81182338,0.25750689,0.048821434,0.67935796,0.96458794,0.053754924
103,0.81918774,0.25245298,0.048401642,0.68376543,0.97463953,0.063885621
104,0.81471966,0.25120743,0.048215262,0.68486116,0.97552514,0.062052904
105,0.81319979,0.25031147,0.048208442,0.6853525,0.97637552,0.062256182
106,0.81367081,0.25383831,0.048403673,0.68221031,0.97596166,0.059576734
107,0.81817229,0.25587798,0.048559714,0.68045512,0.97449729,0.065091227
108,0.81841044,0.25858707,0.048865177,0.67869303,0.9733252,0.065065429
109,0.81411728,0.2584092,0.048900298,0.67804688,0.97063202,0.064480434
110,0.81421639,0.25595796,0.048694256,0.67988874,0.97374231,0.06641238
111,0.81395779,0.25610243,0.048737585,0.67976718,0.9735238,0.067333975
112,0.80666263,0.25649802,0.048739771,0.68059398,0.96442618,0.058222597
113,0.80642908,0.2579441,0.048943186,0.67991324,0.96532236,0.054345591
114,0.80464733,0.26147331,0.049309661,0.6770972,0.96196943,0.049834097
115,0.80331062,0.26138417,0.049266688,0.67713662,0.96185028,0.048814136
116,0.80327194,0.26098736,0.049235906,0.67745909,0.96207901,0.049243368
117,0.80250639,0.26092856,0.049227362,0.67740069,0.96169269,0.048905353
118,0.80243907,0.26091534,0.049226918,0.67741356,0.96170815,0.048829232
119,0.80574192,0.2641396,0.049349355,0.67442921,0.96563429,0.048302132
120,0.80748416,0.26418986,0.049391062,0.6744853,0.965885,0.050186308
121,0.81051736,0.25903416,0.048748773,0.67864825,0.96751749,0.055966916
122,0.80912304,0.26074273,0.048926742,0.6773657,0.96655118,0.052983409
123,0.80575422,0.25753445,0.04864404,0.6797204,0.9660818,0.052051209
124,0.80716163,0.26148408,0.048876773,0.67630623,0.96294087,0.0519916
125,0.80677715,0.26160025,0.048887845,0.67626478,0.96278123,0.051720445
