,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.81212236,0.24992819209673142,0.048014644425445334,0.6846849,0.98919272
1,0.80267856,0.24371977053469615,0.04631511258213987,0.6890908,1.0162926
2,0.80332641,0.24520446491672368,0.04651998760581973,0.6880558000000001,1.0160502
3,0.80314106,0.23921721610771,0.04478986998987196,0.6917048,1.0370476
4,0.79424894,0.21862517281347515,0.0427935716435797,0.7107129999999999,1.0262683
5,0.79372669,0.21891586699834295,0.04282663251508157,0.7104002,1.0263756
6,0.79344796,0.2192234510777527,0.0427559917772773,0.7098694000000001,1.0290875
7,0.81478596,0.23207627820984708,0.04383933640706006,0.6979791,1.0290141
8,0.81804383,0.24224550856502056,0.04485729362756696,0.6895617,1.0220554
9,0.83512531,0.25201334285787796,0.04570209618087777,0.6819727,1.0210109
10,0.84286047,0.25542265853940677,0.04616080172497523,0.6790137,1.0321458
11,0.84286047,0.25542265853940677,0.04616080172497523,0.6790137,1.0321458
12,0.83242371,0.24618753722951503,0.04565168494540188,0.6863703,1.0222641
13,0.83227591,0.24732154906695683,0.045869293593232094,0.68577,1.0218652
14,0.82975677,0.2417869964244957,0.04530163992371556,0.6904541999999999,1.0239523
15,0.82474409,0.24031379370848283,0.044884736086231405,0.6911151,1.0192301
16,0.82179765,0.23618284581858132,0.04432499358276654,0.6939995999999999,1.0209447
17,0.81501443,0.2410998969751043,0.044837568201585,0.6892043,1.0239387
18,0.82369139,0.24627323529815395,0.04540800703982225,0.6852118,1.028842
19,0.81592469,0.23569770891452524,0.04469851314239176,0.6939524,1.0264924
20,0.82787465,0.2387012346799297,0.044733113883933154,0.6907803,1.0270821
21,0.8298199,0.23077927962315845,0.044052152319314954,0.698204,1.0267907
22,0.82103679,0.23815783577345911,0.04495606719856714,0.6921038,1.0257437
23,0.82094883,0.2379621704018745,0.04495574403883922,0.6922602999999999,1.0255485
24,0.80949765,0.22973597559058373,0.04431602093178008,0.6999381,1.0160033
25,0.80949765,0.22973597559058373,0.04431602093178008,0.6999381,1.0160033
26,0.80982721,0.22674170922117967,0.04387325220411897,0.7020299,1.0229515
27,0.81530214,0.2303484743651296,0.04415371106809335,0.6987298,1.0209213
28,0.81411283,0.2280332253344934,0.0440313508517728,0.7008196999999999,1.0223312
29,0.81411283,0.2280332253344934,0.0440313508517728,0.7008196999999999,1.0223312
30,0.82160003,0.24315533255658017,0.04549308203802098,0.6883445,1.0321566
31,0.83736264,0.26241766717777243,0.04746313071163993,0.6728147,1.0186337
32,0.83011739,0.26192689950784365,0.04742650554921225,0.6735333,1.0159759
33,0.82830377,0.2615201305433707,0.04734191781948803,0.6735483999999999,1.0176569
34,0.82953719,0.2614947215517434,0.047350068433232126,0.6737059000000001,1.0182826
35,0.82327449,0.2578902326889902,0.04637364381240265,0.6759238000000001,1.0328658
36,0.83984797,0.25662298964364727,0.04600721299012105,0.6765734999999999,1.0246482
37,0.83608134,0.2533475165495715,0.045733062303759085,0.6789811,1.0240835
38,0.83755594,0.25140351659346755,0.04608173035962589,0.6801791,1.0224075
39,0.82560866,0.2410145541024855,0.0450002850725945,0.688962,1.0320076
40,0.82521238,0.24156580579820755,0.045251830090881295,0.6891801,1.0313206
41,0.82652028,0.2639583058560742,0.04741633481533214,0.6721205,1.0064046
42,0.82462331,0.25205550793494724,0.046462802539819416,0.6818255000000001,1.0070583
43,0.82218996,0.24975505243673402,0.046145535091031996,0.6837021,1.0102614
44,0.82959881,0.25856011177182436,0.04670298396463676,0.6765809,1.0242157
45,0.83213457,0.2600059255160555,0.04685544300852426,0.6756501,1.0222968
46,0.8277429,0.25667260625065613,0.0472094369195383,0.6786686000000001,1.0075221
47,0.80315795,0.2350356493247264,0.0446022918461021,0.694664,1.0208479
48,0.79244171,0.22895269348957648,0.04404617430970742,0.7005364000000001,1.0209463
49,0.79411853,0.23083166834584204,0.04432288535872741,0.6991107,1.0155304
50,0.79385303,0.2296943698567879,0.04420938836860935,0.7000884,1.0169674
51,0.79495698,0.23181709543713408,0.044397533808600224,0.6982636999999999,1.0156521
52,0.79392195,0.22977283589569372,0.04421248830116432,0.7001092,1.0134546
53,0.79501769,0.2331641503828838,0.04466622228025271,0.6971725999999999,1.0144702
54,0.79364225,0.22938708517875703,0.044262255570009366,0.7001892,1.0162967
55,0.78545628,0.22531298944675165,0.04359393729892921,0.705056,1.0198735
56,0.77967696,0.21640738260130704,0.04268350842415903,0.7133477,1.0214822
57,0.7855235,0.23239867628506589,0.04326859600444472,0.6951876,1.0377248
58,0.77498034,0.21270076911377714,0.04180180737369139,0.7130879,1.0375206
59,0.77697646,0.2163822081146503,0.042605975755691576,0.7115729000000001,1.0131972
60,0.78340391,0.22268128489386074,0.04336129025456613,0.7059411,1.0114067
61,0.78401122,0.21347391889535294,0.04202130089418743,0.7152063,1.0160419
62,0.79005695,0.20041358811136084,0.040288233323643036,0.7279531,1.0350994
63,0.78967441,0.19910634526127183,0.04059314042373366,0.7299979999999999,1.0269248
64,0.81818927,0.21722612312114703,0.0421784885627002,0.7111938999999999,1.0278201
65,0.81920093,0.21677084922581644,0.04219966901364567,0.7114046999999999,1.0247923
66,0.81158127,0.2174645480446325,0.042339891640468516,0.7109495,1.032027
67,0.82077552,0.22300372373433944,0.042814271946726684,0.7064045,1.038865
68,0.81784864,0.2372248021379037,0.044319876243275755,0.6919226999999999,1.0426417
69,0.81095732,0.24002325785251943,0.04474385604401743,0.6904075000000001,1.0367849
70,0.81095732,0.24002325785251943,0.04474385604401743,0.6904075000000001,1.0367849
71,0.82529523,0.25981882001420586,0.047431448466711296,0.6760311,1.0116712
72,0.82653263,0.2630208590087293,0.047689651970763816,0.6739307999999999,1.0130199
73,0.82411131,0.26479362557705854,0.047874397261771943,0.672377,1.0142968
74,0.82125245,0.2615135817165566,0.04747429830536667,0.6747324,1.0171808
