,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.8079056,0.27261294254210305,0.04993939569152686,0.6662354,0.9623149
1,0.8051798,0.27003845542294663,0.049714400829662456,0.6680908,0.9635807
2,0.7983605,0.27079548310937396,0.04967325254867026,0.6669678,0.9612586
3,0.7990215,0.27221159006108325,0.049881293200724,0.6659424,0.9603125
4,0.80595,0.2711909918852903,0.04982205146273611,0.6668701,0.962265
5,0.8072986,0.27275744060854207,0.04990425155702762,0.6660889,0.9593876
6,0.8088374,0.27130054988552355,0.04982714348633078,0.6672607,0.9600906
7,0.8088094,0.27131811853559523,0.04982299617820774,0.6673583999999999,0.959871
8,0.8050696,0.2676960230082288,0.04938995253007654,0.6702393,0.9612773
9,0.8062166,0.270076314617239,0.049536165354083374,0.6686279,0.9612329
10,0.8051217,0.26853928306411917,0.04937846414977514,0.669751,0.9619075
11,0.8033591,0.265129722802028,0.04912560824003666,0.6722899999999999,0.9633901
12,0.8033749,0.2618634946799536,0.048749775773249716,0.6747803,0.9634978
13,0.8037239,0.26172128811045403,0.04874090823678788,0.6749267999999999,0.9636074
14,0.8012735,0.2515785289152297,0.0480421477948514,0.6833252000000001,0.9673972
15,0.8001281,0.2517774434659377,0.048101057712044946,0.6834229,0.967306
16,0.804263,0.2574908255380532,0.04857528161663917,0.6788818000000001,0.9636171
17,0.8036609,0.25605530503304746,0.0484577516627393,0.6802002,0.9635835
18,0.804651,0.2549678167223084,0.048374675943677434,0.6810791,0.9639919
19,0.8148662,0.25886213583322454,0.04869873325304294,0.6780029000000001,0.9650195
20,0.8133223,0.2679138474363953,0.049674729049313214,0.6711182,0.9580718
21,0.8142636,0.26937554677834596,0.0497736054033548,0.6699463,0.9576826
22,0.8252061,0.2712868588858459,0.05013478517398138,0.6691161999999999,0.9575943
23,0.8261386,0.27415667854336506,0.05041641015544974,0.6672119000000001,0.9579172
24,0.8251245,0.2740045040219982,0.0504050830813118,0.6672607,0.9581088
25,0.8196095,0.25804600107745895,0.0489084524147077,0.6795654,0.9657281
26,0.8232519,0.26061245189648724,0.04914061157295014,0.6775146,0.9659608
27,0.8172766,0.26233291316314006,0.04928574665982728,0.676001,0.968329
28,0.8162747,0.2615366747729633,0.049177858313844705,0.6765869000000001,0.9684368
29,0.8155733,0.2699571660385271,0.049921890442989364,0.6701416,0.962195
30,0.8152381,0.26649034277753514,0.04954957676896815,0.6726806999999999,0.9626761
31,0.8117322,0.26190892769594776,0.04921907728553217,0.6762451,0.9651788
32,0.8092167,0.2642287599353021,0.04936563565837312,0.6734619000000001,0.9628804
33,0.8099605,0.2653506958390338,0.049437306371879146,0.6724854,0.9633475
34,0.8096296,0.26480795484638164,0.04939032610280172,0.6726318,0.964316
35,0.7989164,0.2588518349247017,0.04902973165179522,0.6777588,0.968422
36,0.8013181,0.26439235787980864,0.04953825133324399,0.6734619000000001,0.9674255
37,0.8011397,0.26422947946516534,0.04945475807715823,0.6735595999999999,0.9679969
38,0.8071685,0.26696322141907136,0.04978095679359383,0.6720946999999999,0.9626011
39,0.8073088,0.2685810221600461,0.04992654048052469,0.6709229000000001,0.9620911
40,0.8135928,0.2645527280320341,0.049670142205764836,0.6742431999999999,0.9659403
41,0.8128971,0.26344303325971086,0.04952279523131905,0.6749267999999999,0.9671655
42,0.812325,0.2624599562910951,0.049363816081231936,0.6756592,0.9668156
43,0.8160225,0.2712559781752123,0.049985044313031614,0.6689697,0.9660784
44,0.8176764,0.2766224798584967,0.05040246693882052,0.6641357000000001,0.9639322
45,0.8146435,0.2795920449393856,0.05064046399296202,0.6620361,0.962356
46,0.8107303,0.2751175045347433,0.05041252967372865,0.6660889,0.9647248
47,0.8105189,0.27514482916085137,0.050406339378991034,0.66604,0.9648091
48,0.8135703,0.28156113510369474,0.050773260949616754,0.6612061,0.9614068
49,0.8083845,0.27210181712811765,0.04967750054540929,0.6677002000000001,0.9673102
50,0.8090305,0.27300770913301736,0.04976042877587978,0.6669678,0.9675302
51,0.8089889,0.27307472526509385,0.04976545535607071,0.6669189,0.9675342
52,0.8168098,0.2745101158611243,0.05021217731132565,0.6663330000000001,0.9661123
53,0.8117133,0.267946576437814,0.04965293641124034,0.6714600000000001,0.968792
54,0.8129037,0.2693592870846938,0.04979539218314636,0.6704346,0.9686174
55,0.8120344,0.26582810213735647,0.04961511653127958,0.6728270999999999,0.9686283
56,0.8168957,0.2622268863648795,0.04928813407041663,0.6756592,0.972771
57,0.8155812,0.2613950501993809,0.049219317823934815,0.6762451,0.9719478
58,0.8168088,0.2611985497418488,0.04910646373141685,0.6761963,0.9719598
59,0.8174897,0.2588333228103817,0.04894796329023046,0.6784912,0.9723888
60,0.8142903,0.2557288217601487,0.048747772954041695,0.6814209,0.974815
61,0.8132292,0.25846905815262056,0.04871319431811373,0.6792725000000001,0.9721082
62,0.8109933,0.26273597705140384,0.04905944768779242,0.6755127000000001,0.9722098
63,0.8077723,0.2645598484799145,0.04915112907385802,0.6737061,0.9696696
64,0.8093431,0.2699365804152976,0.04996779240101389,0.6697021,0.9672509
65,0.8170503,0.27925165264072516,0.0506512788124321,0.6627196999999999,0.9636364
66,0.8170996,0.27970608160438404,0.05069121297643397,0.6623779000000001,0.9633466
67,0.8152632,0.27834145290712986,0.05065138654305638,0.6636963,0.9628098
68,0.8093758,0.2754389126984489,0.05045378914474808,0.6655517999999999,0.9649472
69,0.8178157,0.2687833174100146,0.04990999963361599,0.6704834,0.9648345
70,0.8168833,0.2620834081678201,0.04919709660675573,0.6756592,0.9696491
71,0.8130311,0.2601066357645877,0.04895549929210758,0.6770752,0.968757
72,0.8123908,0.2603933697238981,0.04894765804830742,0.6769775,0.9685485
73,0.8108231,0.2616466647120367,0.04907735558840327,0.676001,0.9677843
74,0.8045374,0.2602993557541417,0.0487706245471601,0.6767333999999999,0.9668436
75,0.8014933,0.25416758226427416,0.04832748202781201,0.6820068,0.9676989
76,0.8028968,0.2528645574818316,0.04826266887509986,0.6824951,0.9681072
77,0.8080154,0.26097328552451504,0.04883917657963101,0.6760497999999999,0.9678409
78,0.8114013,0.25974133226352775,0.048602118718872815,0.6771729000000001,0.9678117
79,0.8124187,0.26650787368889056,0.04935382456003648,0.6717529,0.9641755
80,0.8138968,0.26431871675654023,0.04921118773367387,0.6734619000000001,0.9651731
81,0.8156133,0.2654727478183197,0.04935905345043583,0.6727782999999999,0.964863
82,0.8191392,0.2681826007002847,0.04951624897904007,0.6704346,0.9624022
83,0.8192254,0.26829171380580913,0.04952670026267096,0.6703369000000001,0.9624218
84,0.8203322,0.2646772202049755,0.04906494636989993,0.6728270999999999,0.9668827
85,0.821505,0.26634585259781296,0.049211689354665855,0.6714600000000001,0.966479
86,0.8219094,0.2659510446972328,0.04918443014106186,0.6719971,0.9673608
87,0.8105433,0.26972901204022,0.049456298403731544,0.6684326,0.9594687
88,0.8110713,0.27011773518598475,0.04948541478863512,0.6681396,0.959294
89,0.8081768,0.2650821526329436,0.04907194196467405,0.6720946999999999,0.9610977
90,0.8077793,0.26337725688721003,0.048906525146451274,0.6734619000000001,0.962893
91,0.810274,0.26480938628370904,0.04902241294105566,0.6724854,0.9625709
92,0.8110119,0.26973631665261,0.049530109386858014,0.6688721,0.9614727
93,0.810987,0.2660685183243343,0.049369052798303927,0.6720459,0.9622705
94,0.8124338,0.26672116903580456,0.04939636742023894,0.6714110999999999,0.9617805
95,0.813307,0.26689347959216225,0.049413327787829295,0.6713135,0.9616949
96,0.8156095,0.2685435592752569,0.049758191224983754,0.6700928,0.9613464
97,0.814764,0.2635240981689369,0.04924805239178909,0.6734619000000001,0.9677318
98,0.8156181,0.25776783738501,0.04878738493940221,0.6782959,0.9701784
99,0.8118596,0.25536553581170174,0.0482985972551906,0.6795166,0.9696974
100,0.8119232,0.2552540139073745,0.04828793760968562,0.6796142999999999,0.9696884
101,0.8235317,0.2658272698896627,0.04912546226294841,0.6713135,0.9652414
102,0.823071,0.26614776585911987,0.049281293249077575,0.6709229000000001,0.9659304
103,0.8213194,0.2647821712118787,0.049196769787373446,0.6721436,0.966044
104,0.8185154,0.26090977338420185,0.04880545796023706,0.6750732,0.967715
105,0.8191215,0.2614694909973876,0.048845871497495266,0.6752197,0.9666189
106,0.8159338,0.2629546334895275,0.04920881751553156,0.6742431999999999,0.9634346
107,0.81487,0.2718046832925693,0.049905422538283964,0.6673583999999999,0.9618242
108,0.8069367,0.2671617268578557,0.04946082450970332,0.6708252,0.9629841
109,0.807187,0.25729785029890007,0.04860364128728091,0.6783446999999999,0.9682367
110,0.8102214,0.261002305031879,0.04888588173606499,0.6751708999999999,0.97032
111,0.8130492,0.26032675671029293,0.048860148555200954,0.6761475,0.9706417
112,0.8135987,0.26304910743924403,0.04911198008811472,0.6738525,0.9698861
113,0.8137986,0.2626477317576516,0.0490931507941874,0.6740967000000001,0.9708812
114,0.8206088,0.2652586369667202,0.04941275745496912,0.6718506,0.9658174
115,0.8227813,0.2652810284269628,0.049450827740527094,0.6719482000000001,0.9663464
116,0.8272586,0.2676617795949904,0.049429905249452406,0.6704346,0.9662112
117,0.830524,0.27134038287279194,0.04969187600111703,0.6679443,0.9660491
118,0.8327007,0.2759524207666404,0.050210418061656874,0.664624,0.963559
119,0.8292585,0.2757221901528738,0.05009420061020789,0.6647705,0.9626444
120,0.8264595,0.2736844354430064,0.05001515592833936,0.6662842000000001,0.9628301
121,0.8268027,0.27531138288231644,0.05017026623662929,0.6651123,0.9621256
122,0.823608,0.27707116445983415,0.050316396291427506,0.6636475000000001,0.9629707
123,0.8222173,0.27425218952461816,0.049838232190816456,0.6650145999999999,0.963143
124,0.8214803,0.27506968930283526,0.049959314960847434,0.6642334,0.9628453
125,0.831208,0.2766326830940457,0.050415366768522964,0.6638428000000001,0.9608345
126,0.8292633,0.2761209792426151,0.05035705528721062,0.6641357000000001,0.9584536
127,0.8247522,0.27417459758992874,0.050144364279406634,0.6654053000000001,0.9580147
128,0.8212736,0.2724949709454479,0.04997205740014449,0.6668701,0.9618923
129,0.8211848,0.271549775019356,0.04983753651076235,0.6670654,0.9637605
130,0.8226816,0.269930814742917,0.04954863178220478,0.6682372999999999,0.964435
131,0.8252794,0.2714582683649843,0.04973769636357701,0.6674072,0.9632529
132,0.8240045,0.2678068352808733,0.04937664400528006,0.6704346,0.9653748
133,0.8261843,0.2652449989569075,0.04923595160019665,0.6724854,0.9663697
134,0.8260909,0.26283915853743345,0.04901875768889787,0.6743408,0.9667888
135,0.825475,0.2644992692137821,0.049164816160265516,0.6730225,0.9657876
136,0.8177694,0.25164851963928436,0.04819251440032822,0.68396,0.9739206
137,0.8181721,0.25125329761347553,0.048125752309560836,0.6843505999999999,0.9739771
138,0.818657,0.2544504006159215,0.04851234266743966,0.6821533,0.9722268
139,0.8178823,0.2529550418853964,0.0483441141267863,0.6831787,0.9730833
140,0.8175282,0.25103460298290203,0.04821767829857081,0.68479,0.9725672
141,0.8194995,0.2639545536734219,0.049519545041629476,0.6747314,0.9617932
142,0.8227669,0.2666331953070532,0.049627686932387005,0.6726318,0.9606619
143,0.8228561,0.26868559895554855,0.04988105056138118,0.6712646,0.9586459
144,0.8203426,0.2645765055800107,0.04943069110523598,0.673999,0.9638483
145,0.8202791,0.26433920182535714,0.049432153673270786,0.6741943,0.9642073
146,0.8133035,0.25813950335567903,0.048788845334510465,0.6784912,0.9684931
147,0.814801,0.2583258831591026,0.048827468095639495,0.6784912,0.9688943
148,0.811427,0.26184720048302734,0.04915019462833011,0.6755615,0.9648062
149,0.8115353,0.262246185317994,0.04920627115949707,0.6753662,0.9647369
150,0.8119043,0.26195126273036085,0.049184618012108584,0.6756104,0.9650871
151,0.8110093,0.26147805166769467,0.04919693259207703,0.6760497999999999,0.9652342
152,0.8063319,0.257821971966233,0.04872402361751843,0.6792235999999999,0.966055
153,0.8053343,0.2623812103024288,0.04922739895353992,0.6758057,0.9614578
