,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.7735279299761249,0.14206149603561116,0.03852755621753839,0.7232592857677465,0.912157353463473
1,0.7359635303224853,0.3180327604389755,0.04852120866382015,0.676735215912804,0.9281639387582821
2,0.7123173064819142,0.36102655853934223,0.04893313358233257,0.7238559429902234,0.9790488093243377
3,0.7981727047675382,0.2006754063255796,0.04885007568210214,0.7113134155185494,0.9654656744145951
4,0.7668897066463871,0.27456413903707033,0.052478768502731483,0.6843766496581059,0.8504590102346958
5,0.7537235032856182,0.14052696534904527,0.04613139644805168,0.7300414839309614,0.9582877876565656
6,0.7690220623444013,0.1740107810831365,0.03592106214002691,0.7851992592422121,0.8407159635304473
7,0.7216722444018568,0.37529510601819854,0.04037929778144745,0.7776332232370197,0.9911730752937347
8,0.7713685714482862,0.20462059297873295,0.03656410420859424,0.7972679638516018,0.8675261316500985
9,0.7418548155626106,0.32466607761715,0.039694781321272736,0.7122524547271794,0.9585565409849426
10,0.7672767522136585,0.2817787702544685,0.04132626528198361,0.7922348100966252,0.8510348878240043
11,0.7610488900657777,0.13120142634298765,0.03721313094005055,0.8034049310808921,0.9785894642650157
12,0.7653050921785874,0.24799844488860126,0.041696499232933025,0.7513206288341195,1.0511523079247078
13,0.772172009831371,0.34006889087404135,0.0512426309190129,0.6726054702102366,0.8988427231632942
14,0.7858308855550158,0.12600291934007274,0.05292676260954536,0.66140310085757,1.0605249754263717
15,0.7609437455490473,0.28139266475393,0.04324193601792128,0.7514735389383912,0.8688363250876456
16,0.7663340226296157,0.13736316358188444,0.03239673023886491,0.797832932065177,0.9473704172730428
17,0.7521031380727832,0.25428647109393304,0.053598707950023305,0.6743288273968251,1.0702948680287694
18,0.7887926340166062,0.21962857395109012,0.035954644832373,0.7313456234950567,0.879821076980012
19,0.7323193156914742,0.277648518022755,0.03422325734171066,0.7573305337984146,0.9889587898642618
20,0.7853430355626293,0.1339827568519877,0.05347150337132659,0.6939502051250335,1.0765587742260285
21,0.7765268542999542,0.2554520568511521,0.03649406663746293,0.7583610966377164,0.8634587345705794
22,0.7225043242957829,0.2627182888541152,0.03874543451185934,0.7201075855484917,0.9219930849313952
23,0.7333887882428458,0.2951707555916764,0.038862045083527946,0.8111947927222753,0.8608153229255084
24,0.7729500594557486,0.232005358927577,0.05175272007567782,0.7018144579551893,0.9969036199869412
25,0.7573964597771796,0.26599745040091843,0.0589968576964687,0.6550034753137504,0.9402891050363276
26,0.7432059439530961,0.4196012189906785,0.04945952073290335,0.7143929685489774,0.9372874171990854
27,0.7788584274963157,0.20435191670401232,0.041723350508459385,0.7545708523598718,1.0126914250094214
28,0.7404007239275356,0.17546376590173443,0.04270922320087584,0.77575217628934,0.9561341361533914
29,0.7653793454264455,0.20415106527870586,0.039740718848347886,0.8002015616173384,0.9490005342615875
