,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.7716496722047269,0.19783092131237145,0.04449569113516568,0.7135345669472546,0.9483345756741126
1,0.7495540626826407,0.1524163479326149,0.03877991998778432,0.7662318196365461,0.845764229563736
2,0.7670037569541656,0.10831731549702199,0.04199844252065305,0.7016932784909794,1.0866462086580677
3,0.7737258663070995,0.1615766539616461,0.044256310135448604,0.7230051052513534,1.0455020726382191
4,0.7817390818198089,0.19465995685878557,0.04507668181760761,0.6586687386041521,1.011726410885752
5,0.7633386180066647,0.18056812280109194,0.056160127552378813,0.6459305284723594,0.9480240599132375
6,0.7623225248102196,0.17861194766603625,0.051360633698352025,0.6827126032805367,0.9577373578819305
7,0.785740579864611,0.11410194336118926,0.04295780378464846,0.7191941656192629,1.0370506678828
8,0.7696486395080944,0.17747328438096352,0.041943677368553804,0.7680075604807102,0.8754975738827663
9,0.7471284438849795,0.21134456153520784,0.05408423779213867,0.6792648157829752,0.8827451696087695
10,0.7868184280380438,0.1597026988020763,0.03189490912450849,0.7729547093278253,0.871187250391786
11,0.7813859648967719,0.1455850129592534,0.03740187692900165,0.7760691919957242,1.0362838045014433
12,0.7718676033579989,0.11667185271993404,0.0454120441509115,0.7464819425805403,0.9568758604025455
13,0.7530972662506473,0.13376499381704227,0.050439226429764575,0.6738473787991275,0.9955133100192237
14,0.7895890970881569,0.17536255116687355,0.05001469964187174,0.6895862469903866,0.9702351706033675
15,0.7779383073422914,0.12766142596281585,0.05757896657869806,0.6525974566092562,1.0035763047952488
16,0.7604900255132883,0.18201653007849442,0.03704338995327302,0.7992802146470772,0.9114339458496135
17,0.7980787294567058,0.13445091793252137,0.03276743653439041,0.795019290203423,1.0173366588037869
18,0.787965913297259,0.22990104939357406,0.048027337025372645,0.7027758878582916,0.8807832912675071
19,0.7554025936478044,0.23809598973395918,0.04925895431959751,0.6777918672737243,0.8457588731262542
20,0.7563977561081341,0.1674616865384677,0.0425991063100304,0.7450663088867415,0.9968263071361887
21,0.7988420105700453,0.14656905153461666,0.047801500857390704,0.6650987082232409,0.9884561474274257
